Time,Latitude, Longitute
17909372092,42.2753307,-71.8008889
17929811955,42.275331,-71.8008883
17949393034,42.2753312,-71.8008879
17969337941,42.2753314,-71.8008874
17989602089,42.2753316,-71.8008868
18009278059,42.2753316,-71.8008868
18029912949,42.2753318,-71.8008863
18049278975,42.275332,-71.8008857
18069246054,42.2753323,-71.8008851
18089363099,42.2753326,-71.8008844
18109364033,42.2753326,-71.8008844
18130684138,42.2753328,-71.8008838
18149384976,42.275333,-71.8008832
18169301987,42.2753332,-71.8008827
18189228058,42.2753334,-71.8008822
18209268094,42.2753334,-71.8008822
18229772091,42.2753336,-71.8008817
18249454976,42.2753338,-71.8008812
18269231081,42.2753341,-71.8008807
18289281130,42.2753342,-71.8008802
18315767050,42.2753342,-71.8008802
18329284907,42.2753344,-71.8008798
18349678040,42.2753346,-71.8008793
18369329930,42.2753349,-71.8008788
18389301062,42.275335,-71.8008784
18409884930,42.275335,-71.8008784
18429255963,42.2753351,-71.800878
18449274064,42.2753353,-71.8008777
18469394923,42.2753355,-71.8008773
18489223004,42.2753358,-71.8008768
18509681941,42.2753358,-71.8008768
18529245139,42.2753359,-71.8008764
18549205065,42.275336,-71.8008762
18569298029,42.2753362,-71.8008759
18589136124,42.2753363,-71.8008757
18609807015,42.2753363,-71.8008757
18629302979,42.2753365,-71.8008753
18649148941,42.2753365,-71.8008752
18669414044,42.2753366,-71.8008751
18689230919,42.2753366,-71.800875
18709650040,42.2753366,-71.800875
18729160071,42.2753366,-71.8008748
18749349118,42.2753367,-71.8008746
18769251109,42.2753369,-71.8008744
18789166928,42.275337,-71.8008742
18809848071,42.275337,-71.8008742
18829236985,42.2753371,-71.8008739
18849267006,42.2753372,-71.8008738
18869337082,42.2753373,-71.8008735
18889925957,42.2753375,-71.8008733
18909214020,42.2753375,-71.8008733
18929577113,42.2753375,-71.8008732
18949216128,42.2753376,-71.800873
18969173909,42.2753377,-71.8008729
18989704133,42.2753377,-71.8008726
19009218932,42.2753377,-71.8008726
19029230118,42.2753378,-71.8008723
19049288035,42.275338,-71.800872
19069936991,42.2753382,-71.8008715
19089242936,42.2753385,-71.8008712
19109434128,42.2753385,-71.8008712
19129235030,42.2753387,-71.800871
19149217129,42.2753388,-71.8008707
19169606925,42.275339,-71.8008703
19189467907,42.2753392,-71.80087
19209373951,42.2753392,-71.80087
19229088068,42.2753393,-71.8008697
19249296904,42.2753394,-71.8008694
19269894124,42.2753396,-71.8008691
19289832116,42.2753398,-71.8008687
19309389115,42.2753398,-71.8008687
19329491139,42.2753399,-71.8008683
19349307061,42.2753401,-71.8008679
19369570017,42.2753402,-71.8008675
19389147997,42.2753403,-71.8008671
19409147978,42.2753403,-71.8008671
19429090023,42.2753404,-71.8008667
19449247122,42.2753406,-71.8008662
19477355004,42.2753407,-71.8008658
19489174128,42.2753408,-71.8008654
19509248972,42.2753408,-71.8008654
19529209137,42.275341,-71.800865
19549344063,42.2753412,-71.8008645
19569572926,42.2753414,-71.8008641
19589232922,42.2753416,-71.8008636
19609211922,42.2753416,-71.8008636
19629200936,42.2753418,-71.800863
19649312973,42.275342,-71.8008624
19669760943,42.2753422,-71.8008618
19689141036,42.2753424,-71.8008613
19709280968,42.2753424,-71.8008613
19729334116,42.2753425,-71.8008607
19749763966,42.2753426,-71.8008601
19769279957,42.2753427,-71.8008594
19789320946,42.2753427,-71.8008588
19809263945,42.2753427,-71.8008588
19829814911,42.2753428,-71.8008582
19849879981,42.2753429,-71.8008576
19869342089,42.2753429,-71.800857
19889220000,42.2753429,-71.8008563
19909384013,42.2753429,-71.8008563
19929279089,42.275343,-71.8008556
19949476958,42.2753429,-71.8008551
